address	function_address	category	entropy_disposition
42072	0x41ff0	fixed_local_leaf	excluded_for_reviewed_image
4207f	0x41ff0	fixed_local_leaf	excluded_for_reviewed_image
42091	0x41ff0	fixed_local_leaf	excluded_for_reviewed_image
4209e	0x41ff0	fixed_local_leaf	excluded_for_reviewed_image
420b0	0x41ff0	fixed_local_leaf	excluded_for_reviewed_image
420bd	0x41ff0	fixed_local_leaf	excluded_for_reviewed_image
420d2	0x41ff0	fixed_local_leaf	excluded_for_reviewed_image
420f2	0x41ff0	fixed_local_leaf	excluded_for_reviewed_image
42112	0x41ff0	fixed_local_leaf	excluded_for_reviewed_image
42126	0x41ff0	fixed_local_leaf	excluded_for_reviewed_image
42139	0x41ff0	fixed_local_leaf	excluded_for_reviewed_image
42143	0x41ff0	fixed_local_leaf	excluded_for_reviewed_image
42167	0x41ff0	fixed_local_leaf	excluded_for_reviewed_image
42179	0x41ff0	direct_import_slot	not_excluded
44405	0x440d0	fixed_local_leaf	excluded_for_reviewed_image
44617	0x440d0	fixed_local_nonleaf	not_excluded
44625	0x440d0	fixed_local_leaf	excluded_for_reviewed_image
4468a	0x440d0	fixed_local_nonleaf	not_excluded
44693	0x440d0	fixed_local_leaf	excluded_for_reviewed_image
446f8	0x440d0	fixed_local_nonleaf	not_excluded
44701	0x440d0	fixed_local_leaf	excluded_for_reviewed_image
44766	0x440d0	fixed_local_nonleaf	not_excluded
4476f	0x440d0	fixed_local_leaf	excluded_for_reviewed_image
447d4	0x440d0	fixed_local_nonleaf	not_excluded
447dd	0x440d0	fixed_local_leaf	excluded_for_reviewed_image
44842	0x440d0	fixed_local_nonleaf	not_excluded
4484b	0x440d0	fixed_local_leaf	excluded_for_reviewed_image
448b0	0x440d0	fixed_local_nonleaf	not_excluded
448b9	0x440d0	fixed_local_leaf	excluded_for_reviewed_image
44925	0x440d0	direct_import_slot	not_excluded
44c75	0x44940	fixed_local_leaf	excluded_for_reviewed_image
44e9b	0x44940	fixed_local_nonleaf	not_excluded
44ea9	0x44940	fixed_local_leaf	excluded_for_reviewed_image
44f0e	0x44940	fixed_local_nonleaf	not_excluded
44f17	0x44940	fixed_local_leaf	excluded_for_reviewed_image
44f7c	0x44940	fixed_local_nonleaf	not_excluded
44f85	0x44940	fixed_local_leaf	excluded_for_reviewed_image
44fea	0x44940	fixed_local_nonleaf	not_excluded
44ff3	0x44940	fixed_local_leaf	excluded_for_reviewed_image
45058	0x44940	fixed_local_nonleaf	not_excluded
45061	0x44940	fixed_local_leaf	excluded_for_reviewed_image
450c6	0x44940	fixed_local_nonleaf	not_excluded
450cf	0x44940	fixed_local_leaf	excluded_for_reviewed_image
45134	0x44940	fixed_local_nonleaf	not_excluded
4513d	0x44940	fixed_local_leaf	excluded_for_reviewed_image
451a9	0x44940	direct_import_slot	not_excluded
458c4	0x45740	import_address_in_register	not_excluded
