address	function_address	category
23601	0x21b30	import_address_in_register
23619	0x21b30	import_address_in_register
23631	0x21b30	import_address_in_register
23649	0x21b30	import_address_in_register
23663	0x21b30	import_address_in_register
23fe9	0x23c10	fixed_local_nonleaf
2455b	0x242d0	direct_import_slot
245ca	0x242d0	direct_import_slot
24630	0x242d0	direct_import_slot
24746	0x242d0	fixed_local_nonleaf
2474f	0x242d0	fixed_local_nonleaf
247fc	0x242d0	direct_import_slot
24a6b	0x242d0	import_address_in_register
24b13	0x242d0	direct_import_slot
24b8b	0x242d0	register_value_flow_open
24bc7	0x242d0	direct_import_slot
24c4c	0x242d0	direct_import_slot
24e28	0x24d70	import_address_in_register
24e7f	0x24d70	direct_import_slot
24fc3	0x24d70	import_address_in_register
24fd5	0x24d70	import_address_in_register
25028	0x24d70	import_address_in_register
25042	0x24d70	fixed_local_nonleaf
25053	0x24d70	direct_import_slot
25064	0x24d70	fixed_local_nonleaf
25086	0x24d70	direct_import_slot
25704	0x25110	fixed_local_nonleaf
2577a	0x25110	fixed_local_nonleaf
25f42	0x25ec0	direct_import_slot
26b11	0x26aa0	import_address_in_register
26b7a	0x26aa0	import_address_in_register
26bd3	0x26aa0	direct_import_slot
26c0c	0x26aa0	direct_import_slot
26c31	0x26aa0	direct_import_slot
27494	0x27440	register_value_flow_open
27524	0x274d0	register_value_flow_open
27594	0x274d0	register_value_flow_open
27ca4	0x276b0	fixed_local_nonleaf
27d1a	0x276b0	fixed_local_nonleaf
28051	0x27f90	register_value_flow_open
2811b	0x27f90	register_value_flow_open
2819c	0x27f90	register_value_flow_open
281d3	0x27f90	register_value_flow_open
28262	0x27f90	register_value_flow_open
2827d	0x27f90	register_value_flow_open
282b9	0x27f90	register_value_flow_open
28378	0x27f90	register_value_flow_open
283f4	0x27f90	register_value_flow_open
2842b	0x27f90	register_value_flow_open
284b6	0x27f90	register_value_flow_open
284d1	0x27f90	register_value_flow_open
28b5b	0x28b30	direct_import_slot
2ab87	0x2ab50	import_address_in_register
2abae	0x2ab50	import_address_in_register
2af49	0x2ab50	fixed_local_nonleaf
2c428	0x2c360	direct_import_slot
2c7c9	0x2c360	fixed_local_nonleaf
2d2df	0x2d240	direct_import_slot
2d33c	0x2d240	fixed_local_nonleaf
2d368	0x2d240	direct_import_slot
2d38d	0x2d240	import_address_in_register
2d3c9	0x2d240	import_address_in_register
30600	0x305d0	import_address_in_register
3062b	0x305d0	import_address_in_register
3078b	0x305d0	direct_import_slot
307fc	0x305d0	direct_import_slot
30861	0x305d0	direct_import_slot
30966	0x305d0	fixed_local_nonleaf
3096f	0x305d0	fixed_local_nonleaf
30a1a	0x305d0	direct_import_slot
31af0	0x31ac0	import_address_in_register
31b1b	0x31ac0	import_address_in_register
31c7b	0x31ac0	direct_import_slot
31cec	0x31ac0	direct_import_slot
31d51	0x31ac0	direct_import_slot
31e56	0x31ac0	fixed_local_nonleaf
31e5f	0x31ac0	fixed_local_nonleaf
31f0a	0x31ac0	direct_import_slot
33566	0x33240	direct_import_slot
33606	0x33240	fixed_local_nonleaf
33680	0x33240	fixed_local_nonleaf
38fac	0x38ed0	fixed_local_nonleaf
38fc0	0x38ed0	fixed_local_nonleaf
39005	0x38ed0	fixed_local_nonleaf
39114	0x38ed0	fixed_local_nonleaf
3916b	0x38ed0	fixed_local_nonleaf
3925d	0x38ed0	fixed_local_nonleaf
3927d	0x38ed0	fixed_local_nonleaf
392a1	0x38ed0	fixed_local_nonleaf
392c7	0x38ed0	fixed_local_nonleaf
392ed	0x38ed0	fixed_local_nonleaf
39306	0x38ed0	fixed_local_nonleaf
398fb	0x38ed0	direct_import_slot
3996d	0x38ed0	import_address_in_register
39984	0x38ed0	import_address_in_register
39996	0x38ed0	import_address_in_register
39a03	0x38ed0	import_address_in_register
39a1a	0x38ed0	import_address_in_register
39a5c	0x38ed0	import_address_in_register
39b5a	0x38ed0	direct_import_slot
39d4b	0x38ed0	import_address_in_register
39d63	0x38ed0	import_address_in_register
39d76	0x38ed0	import_address_in_register
39d8b	0x38ed0	import_address_in_register
39dd0	0x38ed0	import_address_in_register
39f90	0x38ed0	direct_import_slot
3ace9	0x3ac70	fixed_local_nonleaf
3ad16	0x3ac70	fixed_local_nonleaf
3ad27	0x3ac70	fixed_local_nonleaf
3ad4d	0x3ac70	fixed_local_nonleaf
3ad63	0x3ac70	fixed_local_nonleaf
3d72e	0x3d550	fixed_local_nonleaf
3d773	0x3d550	fixed_local_nonleaf
3dbf8	0x3db70	direct_import_slot
3dc7f	0x3db70	direct_import_slot
3e2b0	0x3e290	fixed_local_nonleaf
3e2c5	0x3e290	fixed_local_nonleaf
3e397	0x3e370	fixed_local_nonleaf
3e3ac	0x3e370	fixed_local_nonleaf
3e417	0x3e3f0	fixed_local_nonleaf
3e42c	0x3e3f0	fixed_local_nonleaf
3e502	0x3e470	direct_import_slot
3ee71	0x3ed80	direct_import_slot
3ef5e	0x3ed80	direct_import_slot
3f044	0x3efc0	import_address_in_register
3f05b	0x3efc0	import_address_in_register
41059	0x40f60	direct_import_slot
41345	0x41110	register_value_flow_open
413a7	0x41110	register_value_flow_open
4178d	0x41110	register_value_flow_open
417aa	0x41110	register_value_flow_open
418ad	0x41110	register_value_flow_open
418c2	0x41110	register_value_flow_open
418cf	0x41110	register_value_flow_open
418df	0x41110	register_value_flow_open
419bd	0x41920	direct_import_slot
419f9	0x41920	direct_import_slot
41fd1	0x41d00	direct_import_slot
42179	0x41ff0	direct_import_slot
44617	0x440d0	fixed_local_nonleaf
4468a	0x440d0	fixed_local_nonleaf
446f8	0x440d0	fixed_local_nonleaf
44766	0x440d0	fixed_local_nonleaf
447d4	0x440d0	fixed_local_nonleaf
44842	0x440d0	fixed_local_nonleaf
448b0	0x440d0	fixed_local_nonleaf
44925	0x440d0	direct_import_slot
44e9b	0x44940	fixed_local_nonleaf
44f0e	0x44940	fixed_local_nonleaf
44f7c	0x44940	fixed_local_nonleaf
44fea	0x44940	fixed_local_nonleaf
45058	0x44940	fixed_local_nonleaf
450c6	0x44940	fixed_local_nonleaf
45134	0x44940	fixed_local_nonleaf
451a9	0x44940	direct_import_slot
458c4	0x45740	import_address_in_register
458d7	0x45740	import_address_in_register
458ea	0x45740	import_address_in_register
458fd	0x45740	import_address_in_register
45910	0x45740	import_address_in_register
45923	0x45740	import_address_in_register
45936	0x45740	import_address_in_register
45949	0x45740	import_address_in_register
45bf2	0x45740	import_address_in_register
45c11	0x45740	fixed_local_nonleaf
45dcd	0x45740	direct_import_slot
45fa9	0x45740	direct_import_slot
45ffd	0x45740	register_value_flow_open
4600a	0x45740	register_value_flow_open
46017	0x45740	register_value_flow_open
46145	0x45740	register_value_flow_open
46188	0x45740	direct_import_slot
461bb	0x45740	register_value_flow_open
461d9	0x45740	register_value_flow_open
461e7	0x45740	register_value_flow_open
461f5	0x45740	register_value_flow_open
46321	0x45740	register_value_flow_open
46364	0x45740	direct_import_slot
4654e	0x45740	import_address_in_register
466ea	0x45740	register_value_flow_open
46731	0x45740	import_address_in_register
4674c	0x45740	import_address_in_register
48850	0x486c0	import_address_in_register
48863	0x486c0	import_address_in_register
48876	0x486c0	import_address_in_register
48889	0x486c0	import_address_in_register
4889c	0x486c0	import_address_in_register
488af	0x486c0	import_address_in_register
488c2	0x486c0	import_address_in_register
488d5	0x486c0	import_address_in_register
48ac0	0x486c0	direct_import_slot
48cae	0x486c0	import_address_in_register
48e4b	0x486c0	register_value_flow_open
48e8e	0x486c0	direct_import_slot
48ec3	0x486c0	register_value_flow_open
48ee1	0x486c0	register_value_flow_open
48eef	0x486c0	register_value_flow_open
48f03	0x486c0	register_value_flow_open
49076	0x486c0	direct_import_slot
49096	0x486c0	fixed_local_nonleaf
49261	0x486c0	import_address_in_register
4943e	0x486c0	direct_import_slot
495e4	0x486c0	register_value_flow_open
4962b	0x486c0	import_address_in_register
49646	0x486c0	import_address_in_register
4a368	0x4a340	import_address_in_register
4a37e	0x4a340	import_address_in_register
4a3d8	0x4a3b0	import_address_in_register
4a3ee	0x4a3b0	import_address_in_register
4a5a8	0x4a580	import_address_in_register
4a5be	0x4a580	import_address_in_register
4b8c4	0x4b850	fixed_local_nonleaf
4b8cf	0x4b850	fixed_local_nonleaf
4b974	0x4b900	fixed_local_nonleaf
4b97f	0x4b900	fixed_local_nonleaf
64a84	0x64930	fixed_local_nonleaf
64b4b	0x64930	register_value_flow_open
6624a	0x65fb0	register_value_flow_open
6840c	0x680e0	register_value_flow_open
684a0	0x68480	direct_import_slot
69eb0	0x69e90	direct_import_slot
6a68d	0x69f90	register_value_flow_open
730e5	0x73010	register_value_flow_open
73948	0x733d0	direct_import_slot
76110	0x75f40	fixed_local_nonleaf
761b5	0x75f40	fixed_local_nonleaf
76385	0x75f40	import_address_in_register
763c7	0x75f40	import_address_in_register
76e59	0x76d20	fixed_local_nonleaf
806d8	0x80690	direct_import_slot
80e51	0x80e10	open_vtable_dispatch
8cae3	0x8ca20	direct_import_slot
8caf2	0x8ca20	direct_import_slot
8cb0f	0x8ca20	direct_import_slot
8cc1d	0x8ca20	open_vtable_dispatch
8cc76	0x8ca20	open_vtable_dispatch
8dccd	0x8dc20	open_vtable_dispatch
8dd08	0x8dc20	open_vtable_dispatch
8dd40	0x8dc20	open_vtable_dispatch
8e4ad	0x8e470	direct_import_slot
8e4be	0x8e470	direct_import_slot
8e4f1	0x8e470	direct_import_slot
8f127	0x8f110	direct_import_slot
8f151	0x8f110	direct_import_slot
8f170	0x8f170	direct_import_slot
8f1b2	0x8f180	direct_import_slot
8f1da	0x8f180	direct_import_slot
8f208	0x8f180	direct_import_slot
8f211	0x8f180	direct_import_slot
8f36f	0x8f340	direct_import_slot
8f394	0x8f340	direct_import_slot
8f3ba	0x8f340	direct_import_slot
8f424	0x8f3d0	register_value_flow_open
8f450	0x8f3d0	register_value_flow_open
af876	0xaf806	open_vtable_dispatch
af8a8	0xaf806	open_vtable_dispatch
af8cf	0xaf806	open_vtable_dispatch
af960	0xaf806	open_vtable_dispatch
b6a48	0xb6a10	direct_import_slot
b6b17	0xb6af0	direct_import_slot
b6b3a	0xb6af0	direct_import_slot
b6b49	0xb6af0	direct_import_slot
b6b65	0xb6af0	direct_import_slot
b6b73	0xb6af0	direct_import_slot
cf97b	0xcf960	open_vtable_dispatch
cf9da	0xcf9d0	open_vtable_dispatch
cfa3d	0xcf9d0	direct_import_slot
cfac6	0xcfa80	direct_import_slot
fdd85	0xfdd10	open_vtable_dispatch
fddd4	0xfdd10	open_vtable_dispatch
fde76	0xfdd10	format_argument_function_pointer
fdeb9	0xfdd10	open_vtable_dispatch
1120d5	0x112050	import_address_in_register
11214a	0x112050	import_address_in_register
112171	0x112050	import_address_in_register
112199	0x112050	import_address_in_register
1121b0	0x112050	import_address_in_register
1121bc	0x112050	import_address_in_register
