kind,keys,seed,boc_cells,boc_bytes,batch_data_cells,serialized_account_cells,generate_ms,host_admission_census_ms,serialize_ms,import_request_ms,first_lookup_ms,root_store_ms,reopen_root_ms,reopen_validate_append_ms,whole_import_ms,whole_reopen_ms,rss_before_kib,rss_gen_guard_kib,rss_serialized_kib,rss_imported_kib,rss_reopened_kib,root_hash
STORAGE_CSV,1000,91,2006,41348,2006,2007,5.03968,1.99306,0.372269,36.5081,7.54789,6.28455,12.7643,12.7769,58.7385,28.2993,10752,15360,15360,27648,29024,C7B15D588DD4EA0900284CC091C0A652BE9F4524AF286CD98DA4D106C1E533C1
STORAGE_CSV,1000,91,2006,41348,2006,2007,7.19478,2.79801,0.533558,39.2391,8.07293,6.77866,13.4329,10.1247,63.913,25.9777,10752,15360,15360,27648,29184,C7B15D588DD4EA0900284CC091C0A652BE9F4524AF286CD98DA4D106C1E533C1
STORAGE_CSV,1000,91,2006,41348,2006,2007,7.17556,2.74787,0.542998,40.6285,9.32814,6.36867,12.3373,13.2787,64.6515,28.073,10752,15360,15360,27648,29184,C7B15D588DD4EA0900284CC091C0A652BE9F4524AF286CD98DA4D106C1E533C1
STORAGE_CSV,8000,91,16006,327895,16006,16007,38.3743,11.2955,3.38372,129.665,74.2649,6.38595,31.7385,52.6567,263.382,90.9542,10752,23040,23040,35876,35876,79190F5933F703A5342F98D43865D7764E8D9307630C56020B8002EA796316B6
STORAGE_CSV,8000,91,16006,327895,16006,16007,71.6105,15.5733,4.64062,161.336,74.7254,6.75174,31.7754,86.9173,296.97,124.711,10752,23040,23040,36704,39776,79190F5933F703A5342F98D43865D7764E8D9307630C56020B8002EA796316B6
STORAGE_CSV,8000,91,16006,327895,16006,16007,70.9162,14.7124,4.70515,161.565,72.6029,5.91671,28.6369,89.1449,294.67,125.179,10752,23040,23040,36932,39632,79190F5933F703A5342F98D43865D7764E8D9307630C56020B8002EA796316B6
STORAGE_CSV,32000,91,64006,1306019,64006,64007,174.824,42.7657,11.7234,603.887,330.037,6.87141,102.017,394.478,1172.86,511.031,10752,50688,50688,62512,85552,5A4E10913CBDD3370CEB0195803778858B81920333116EDFCD70162467BB2E8D
STORAGE_CSV,32000,91,64006,1306019,64006,64007,327.893,63.0412,19.331,601.682,328.073,6.86899,106.445,397.545,1172.35,524.504,10752,50688,50688,62300,93020,5A4E10913CBDD3370CEB0195803778858B81920333116EDFCD70162467BB2E8D
STORAGE_CSV,32000,91,64006,1306019,64006,64007,278.194,42.8607,14.1155,781.021,326.172,10.2438,101.512,398.95,1355.51,521.709,10752,50688,50688,62576,85616,5A4E10913CBDD3370CEB0195803778858B81920333116EDFCD70162467BB2E8D
